TRANSACTION_ID,SALE_DATE,YEAR,MONTH,MONTH_NAME,MODEL,SEGMENT,FUEL_TYPE,REGION,DEALER,BASE_PRICE,DISCOUNT_AMOUNT,SELLING_PRICE,COST_PRICE,GROSS_PROFIT,GROSS_MARGIN_PCT,UNITS_SOLD
VA20240100001,01-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18214.0,588904.0,480000,108904.0,18.49,1
VA20240100002,08-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Gurgaon Auto,600000.0,17772.0,574630.0,480000,94630.0,16.47,1
VA20240100003,05-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18201.0,588511.0,480000,108511.0,18.44,1
VA20240100004,22-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18070.0,584255.0,480000,104255.0,17.84,1
VA20240100005,03-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17961.0,580739.0,480000,100739.0,17.35,1
VA20240100006,14-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17712.0,572687.0,480000,92687.0,16.18,1
VA20240100007,01-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17971.0,581051.0,480000,101051.0,17.39,1
VA20240100008,07-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,17880.0,578129.0,480000,98129.0,16.97,1
VA20240100009,17-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,17743.0,573686.0,480000,93686.0,16.33,1
VA20240100010,01-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18109.0,585513.0,480000,105513.0,18.02,1
VA20240100011,07-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17681.0,571673.0,480000,91673.0,16.04,1
VA20240100012,14-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,18160.0,587168.0,480000,107168.0,18.25,1
VA20240100013,15-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Noida Prime,600000.0,18316.0,592210.0,480000,112210.0,18.95,1
VA20240100014,09-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Chandigarh Veda,600000.0,17641.0,570378.0,480000,90378.0,15.85,1
VA20240100015,25-JAN-24,2024,1,Jan,Veda Spark,Hatchback,Petrol,North,Delhi Central,600000.0,18354.0,593459.0,480000,113459.0,19.12,1
